,Source,Target,Weight
436,진행,업무,5
437,진행,휴직기간,1
438,진행,부분,6
439,진행,회사,25
440,진행,퇴직금,4
441,처리,육아휴직출산휴가,2
442,처리,출산예정일,6
443,처리,눈치,1
444,처리,기간,16
445,처리,퇴사,21
446,처리,고민,3
447,처리,산전육아휴직,7
448,처리,업무,4
449,처리,휴직기간,2
450,처리,부분,4
451,처리,회사,46
452,처리,퇴직금,5
453,육아휴직출산휴가,출산예정일,13
454,육아휴직출산휴가,눈치,1
455,육아휴직출산휴가,기간,7
456,육아휴직출산휴가,퇴사,4
457,육아휴직출산휴가,고민,2
458,육아휴직출산휴가,산전육아휴직,8
459,육아휴직출산휴가,업무,1
460,육아휴직출산휴가,휴직기간,1
461,육아휴직출산휴가,부분,1
462,육아휴직출산휴가,회사,21
463,육아휴직출산휴가,퇴직금,2
464,출산예정일,눈치,2
465,출산예정일,기간,33
466,출산예정일,퇴사,8
467,출산예정일,고민,15
468,출산예정일,산전육아휴직,32
469,출산예정일,업무,9
470,출산예정일,휴직기간,4
471,출산예정일,부분,7
472,출산예정일,회사,78
473,출산예정일,퇴직금,4
474,눈치,기간,5
475,눈치,퇴사,6
476,눈치,고민,12
477,눈치,산전육아휴직,2
478,눈치,업무,4
479,눈치,휴직기간,2
480,눈치,부분,2
481,눈치,회사,25
482,눈치,퇴직금,4
483,기간,퇴사,26
484,기간,고민,30
485,기간,산전육아휴직,20
486,기간,업무,5
487,기간,휴직기간,14
488,기간,부분,17
489,기간,회사,135
490,기간,퇴직금,13
491,퇴사,고민,32
492,퇴사,산전육아휴직,8
493,퇴사,업무,10
494,퇴사,휴직기간,4
495,퇴사,부분,10
496,고민,산전육아휴직,6
497,고민,업무,16
498,고민,휴직기간,1
499,고민,부분,9
500,고민,회사,89
501,고민,퇴직금,6
502,산전육아휴직,업무,4
503,산전육아휴직,휴직기간,4
504,산전육아휴직,부분,7
505,산전육아휴직,회사,58
506,산전육아휴직,퇴직금,4
507,업무,휴직기간,2
508,업무,부분,4
509,업무,회사,42
510,업무,퇴직금,3
511,휴직기간,부분,1
512,휴직기간,회사,16
513,휴직기간,퇴직금,4
514,부분,회사,34
515,부분,퇴직금,7
516,회사,퇴직금,28
517,어린이집,남편,42
518,어린이집,복귀,14
519,남편,복귀,14
520,아이,제도,6
521,아이,올해,17
522,아이,회사,59
523,제도,올해,3
524,제도,가능,10
525,제도,회사,9
526,올해,가능,42
527,올해,회사,66
528,가능,회사,156
529,공무원,계산,18
530,공무원,육아휴직수당,15
531,공무원,기간,25
532,공무원,수당,23
533,공무원,기여금,14
534,공무원,답변,26
535,공무원,급여,38
536,공무원,금액,7
537,계산,육아휴직수당,2
538,계산,기간,77
539,계산,수당,6
540,계산,기여금,4
541,계산,답변,33
542,계산,급여,49
543,계산,금액,11
544,육아휴직수당,기간,3
545,육아휴직수당,수당,12
546,육아휴직수당,기여금,2
547,육아휴직수당,답변,4
548,육아휴직수당,급여,10
549,육아휴직수당,금액,6
550,기간,수당,13
551,기간,기여금,4
552,기간,답변,28
553,기간,급여,73
554,기간,금액,17
555,수당,기여금,4
556,수당,답변,10
557,수당,급여,19
558,수당,금액,10
559,기여금,답변,2
560,기여금,급여,6
561,기여금,금액,2
562,답변,급여,36
563,답변,금액,13
564,급여,금액,44
565,3개월,해당,16
566,3개월,복직,92
567,3개월,엄마,19
568,3개월,수당,13
569,3개월,아빠,15
570,3개월,공무원,21
571,3개월,답변,29
572,해당,복직,27
573,해당,엄마,5
574,해당,수당,7
575,해당,아빠,5
576,해당,남편,23
577,해당,공무원,11
578,해당,답변,9
579,복직,엄마,43
580,복직,수당,28
581,복직,아빠,13
582,복직,남편,94
583,복직,공무원,44
584,복직,답변,36
585,엄마,수당,2
586,엄마,아빠,36
587,엄마,남편,29
588,엄마,공무원,12
589,엄마,답변,8
590,수당,아빠,3
591,수당,남편,11
592,아빠,남편,23
593,아빠,공무원,9
594,아빠,답변,8
595,남편,공무원,51
596,남편,답변,27
597,복직,조언,23
598,복직,사람,31
599,복직,6개월,152
600,복직,포함해서,1
601,복직,고민,88
602,복직,마음,44
603,복직,내년,113
604,복직,병원,11
605,복직,1년,212
606,복직,올해,65
607,복직,가능,97
608,복직,업무,24
609,복직,상관,17
610,복직,말,73
611,복직,자리,26
612,복직,경우,36
613,조언,사용,23
614,조언,사람,6
615,조언,6개월,12
616,조언,포함해서,1
617,조언,남편,21
618,조언,고민,29
619,조언,마음,13
620,조언,내년,11
621,조언,병원,4
622,조언,1년,30
623,조언,계획,17
624,조언,올해,6
625,조언,가능,18
626,조언,업무,7
627,조언,상관,3
628,조언,입사,7
629,조언,출산,28
630,조언,이야기,5
631,조언,회사,42
632,조언,말,16
633,조언,자리,3
634,조언,경우,9
635,조언,근무,11
636,사용,사람,17
637,사용,6개월,77
638,사용,포함해서,8
639,사용,고민,39
640,사용,마음,22
641,사용,내년,72
642,사용,병원,15
643,사용,1년,182
644,사용,계획,52
645,사용,올해,58
646,사용,업무,17
647,사용,상관,22
648,사용,이야기,15
649,사용,말,67
650,사용,자리,7
651,사용,경우,31
652,사람,6개월,25
653,사람,포함해서,2
654,사람,남편,29
655,사람,고민,16
656,사람,마음,8
657,사람,내년,18
658,사람,병원,10
659,사람,1년,40
660,사람,계획,7
661,사람,올해,10
662,사람,가능,25
663,사람,업무,7
664,사람,상관,2
665,사람,입사,2
666,사람,출산,22
667,사람,이야기,11
668,사람,회사,56
669,사람,말,25
670,사람,자리,9
671,사람,경우,6
672,사람,근무,14
673,6개월,포함해서,4
674,6개월,남편,43
675,6개월,고민,35
676,6개월,마음,14
677,6개월,내년,81
678,6개월,병원,5
679,6개월,1년,193
680,6개월,계획,19
681,6개월,올해,32
682,6개월,업무,8
683,6개월,상관,5
684,6개월,입사,13
685,6개월,출산,70
686,6개월,이야기,17
687,6개월,회사,116
688,6개월,말,51
689,6개월,자리,8
690,6개월,경우,17
691,6개월,근무,63
692,포함해서,남편,1
693,포함해서,고민,2
694,포함해서,마음,1
695,포함해서,내년,2
696,포함해서,병원,1
697,포함해서,1년,12
698,포함해서,계획,3
699,포함해서,올해,2
700,포함해서,가능,4
701,포함해서,업무,1
702,포함해서,상관,1
703,포함해서,입사,2
704,포함해서,출산,11
705,포함해서,이야기,1
706,포함해서,회사,7
707,포함해서,말,5
708,포함해서,자리,1
709,포함해서,경우,3
710,포함해서,근무,4
711,남편,고민,54
712,남편,마음,20
713,남편,내년,42
714,남편,병원,4
715,남편,1년,90
716,남편,계획,17
717,남편,올해,31
718,남편,업무,8
719,남편,상관,7
720,남편,입사,3
721,남편,출산,59
722,남편,이야기,9
723,남편,회사,94
724,남편,말,33
725,남편,자리,10
726,남편,경우,26
727,남편,근무,23
728,고민,마음,27
729,고민,내년,41
730,고민,병원,5
731,고민,1년,73
732,고민,계획,26
733,고민,올해,22
734,고민,가능,32
735,고민,상관,2
736,고민,입사,7
737,고민,출산,61
738,고민,이야기,13
739,고민,말,29
740,고민,자리,20
741,고민,경우,7
742,고민,근무,24
743,마음,내년,10
744,마음,병원,6
745,마음,1년,21
746,마음,계획,10
747,마음,올해,12
748,마음,가능,18
749,마음,업무,8
750,마음,상관,3
751,마음,입사,6
752,마음,출산,23
753,마음,이야기,8
754,마음,회사,41
755,마음,말,19
756,마음,자리,4
757,마음,경우,7
758,마음,근무,14
759,내년,병원,6
760,내년,1년,121
761,내년,계획,25
762,내년,올해,45
763,내년,가능,54
764,내년,업무,7
765,내년,상관,5
766,내년,입사,5
767,내년,출산,94
768,내년,이야기,19
769,내년,회사,97
770,내년,말,41
771,내년,자리,13
772,내년,경우,17
773,내년,근무,35
774,병원,1년,14
775,병원,계획,6
776,병원,올해,4
777,병원,가능,8
778,병원,업무,4
779,병원,상관,1
780,병원,입사,3
781,병원,출산,18
782,병원,이야기,6
783,병원,회사,14
784,병원,말,8
785,병원,자리,1
786,병원,경우,2
787,병원,근무,17
788,1년,계획,44
789,1년,올해,66
790,1년,가능,117
791,1년,업무,11
792,1년,상관,12
793,1년,입사,13
794,1년,출산,160
795,1년,이야기,23
796,1년,회사,209
797,1년,말,74
798,1년,자리,15
799,1년,경우,29
800,1년,근무,76
801,계획,올해,15
802,계획,가능,29
803,계획,업무,5
804,계획,상관,3
805,계획,입사,4
806,계획,이야기,8
807,계획,말,18
808,계획,자리,4
809,계획,경우,13
810,계획,근무,21
811,올해,업무,5
812,올해,상관,4
813,올해,입사,10
814,올해,출산,50
815,올해,이야기,9
816,올해,말,31
817,올해,자리,5
818,올해,경우,15
819,올해,근무,32
820,가능,업무,11
821,가능,상관,9
822,가능,입사,11
823,가능,출산,108
824,가능,이야기,13
825,가능,말,47
826,가능,자리,9
827,가능,경우,18
828,가능,근무,60
829,업무,상관,1
830,업무,입사,4
831,업무,출산,15
832,업무,이야기,6
833,업무,말,14
834,업무,자리,6
835,업무,경우,4
836,업무,근무,9
837,상관,입사,1
838,상관,출산,14
839,상관,이야기,1
840,상관,회사,19
841,상관,말,6
842,상관,자리,1
843,상관,경우,6
844,상관,근무,8
845,입사,이야기,4
846,입사,회사,27
847,입사,말,9
848,입사,자리,4
849,입사,경우,3
850,입사,근무,14
851,출산,이야기,20
852,출산,말,75
853,출산,자리,17
854,출산,경우,25
855,출산,근무,98
856,이야기,말,15
857,이야기,자리,5
858,이야기,경우,2
859,이야기,근무,13
860,회사,말,130
861,회사,자리,28
862,회사,경우,46
863,회사,근무,119
864,말,자리,6
865,말,경우,12
866,말,근무,48
867,자리,경우,4
868,자리,근무,12
869,경우,근무,27
870,육아휴직출산휴가,계산법,1
871,육아휴직기간,사람,4
872,육아휴직기간,날짜,9
873,육아휴직기간,질문,8
874,육아휴직기간,고용보험,4
875,육아휴직기간,답답,3
876,육아휴직기간,기간,23
877,육아휴직기간,급여,9
878,육아휴직기간,주변,4
879,육아휴직기간,1개월,8
880,육아휴직기간,가능,24
881,육아휴직기간,신청,24
882,육아휴직기간,선택,3
883,육아휴직기간,부분,4
884,육아휴직기간,도움,7
885,육아휴직기간,시작,8
886,육아휴직기간,상태,7
887,사람,날짜,3
888,사람,질문,7
889,사람,고용보험,3
890,사람,답답,8
891,사람,기간,14
892,사람,급여,12
893,사람,주변,5
894,사람,1개월,2
895,사람,신청,25
896,사람,선택,2
897,사람,부분,4
898,사람,도움,7
899,사람,시작,13
900,사람,상태,11
901,날짜,질문,13
902,날짜,고용보험,15
903,날짜,답답,2
904,날짜,기간,35
905,날짜,급여,32
906,날짜,주변,2
907,날짜,1개월,9
908,날짜,가능,32
909,날짜,신청,78
910,날짜,선택,6
911,날짜,부분,4
912,날짜,도움,15
913,날짜,시작,38
914,날짜,상태,6
915,질문,고용보험,21
916,질문,답답,3
917,질문,기간,39
918,질문,급여,48
919,질문,주변,2
920,질문,1개월,5
921,질문,가능,34
922,질문,신청,67
923,질문,선택,3
924,질문,부분,8
925,질문,도움,8
926,질문,시작,24
927,질문,상태,11
928,고용보험,답답,3
929,고용보험,기간,22
930,고용보험,급여,61
931,고용보험,주변,1
932,고용보험,1개월,8
933,고용보험,가능,19
934,고용보험,신청,77
935,고용보험,선택,4
936,고용보험,부분,7
937,고용보험,도움,9
938,고용보험,시작,17
939,고용보험,상태,4
940,답답,기간,3
941,답답,급여,6
942,답답,주변,3
943,답답,1개월,1
944,답답,가능,4
945,답답,신청,11
946,답답,선택,1
947,답답,부분,3
948,답답,도움,2
949,답답,시작,6
950,답답,상태,4
951,기간,주변,6
952,기간,1개월,18
953,기간,가능,60
954,기간,신청,95
955,기간,선택,6
956,기간,도움,24
957,기간,시작,40
958,기간,상태,14
959,급여,주변,7
960,급여,1개월,20
961,급여,가능,60
962,급여,신청,222
963,급여,선택,10
964,급여,부분,22
965,급여,도움,18
966,급여,시작,51
967,급여,상태,13
968,주변,1개월,2
969,주변,가능,5
970,주변,신청,7
971,주변,선택,1
972,주변,부분,3
973,주변,도움,4
974,주변,시작,5
975,주변,상태,10
976,1개월,가능,19
977,1개월,신청,35
978,1개월,선택,3
979,1개월,부분,4
980,1개월,도움,3
981,1개월,시작,7
982,1개월,상태,4
983,가능,선택,6
984,가능,부분,13
985,가능,도움,17
986,가능,시작,27
987,가능,상태,31
988,신청,선택,12
989,신청,부분,21
990,신청,도움,28
991,신청,시작,76
992,신청,상태,33
993,선택,부분,6
994,선택,도움,7
995,선택,시작,6
996,선택,상태,1
997,부분,도움,8
998,부분,시작,11
999,부분,상태,7
1000,도움,시작,15
1001,도움,상태,7
1002,시작,상태,10
1003,계획,언제쯤,8
1004,날짜,1년6개월,2
1005,날짜,연장,6
1006,날짜,한번,33
1007,날짜,계산,100
1008,연차,1년6개월,2
1009,연차,연장,10
1010,연차,한번,36
1011,연차,계산,93
1012,하루,1년6개월,9
1013,하루,연장,12
1014,하루,한번,6
1015,하루,계산,11
1016,1년6개월,연장,33
1017,1년6개월,한번,3
1018,1년6개월,계산,5
1019,연장,한번,8
1020,연장,계산,11
1021,복직,중소기업,18
1022,복직,아기,108
1023,복직,눈치,20
1024,복직,문제,38
1025,복직,퇴직,13
1026,중소기업,아기,3
1027,중소기업,눈치,2
1028,중소기업,문제,4
1029,중소기업,엄마,3
1030,중소기업,생각,12
1031,중소기업,퇴직,2
1032,중소기업,회사,39
1033,아기,눈치,7
1034,아기,문제,15
1035,아기,엄마,37
1036,아기,생각,72
1037,아기,퇴직,3
1038,아기,회사,90
1039,눈치,문제,4
1040,눈치,엄마,5
1041,눈치,생각,15
1042,눈치,퇴직,1
1043,문제,엄마,8
1044,문제,생각,26
1045,문제,퇴직,2
1046,문제,회사,47
1047,엄마,생각,29
1048,엄마,퇴직,2
1049,엄마,회사,24
1050,생각,퇴직,4
1051,퇴직,회사,13
1052,육아휴직기간,공휴일,1
1053,육아휴직기간,일정,2
1054,사용,공휴일,18
1055,사용,일정,8
1056,공휴일,가능,8
1057,공휴일,일정,2
1058,공휴일,신청,6
1059,가능,일정,10
1060,일정,신청,13
1061,공무원,제출,12
1062,공무원,아기,19
1063,공무원,2년,17
1064,공무원,회사,8
1065,공무원,이전,5
1066,공무원,확인,7
1067,제출,아기,6
1068,제출,2년,6
1069,제출,이전,5
1070,아기,2년,17
1071,아기,이전,8
1072,아기,확인,8
1073,2년,회사,44
1074,2년,이전,7
1075,2년,확인,4
1076,회사,이전,19
1077,이전,확인,3
1078,둘째,두번,8
1079,둘째,뒤,14
1080,둘째,사후지급금,27
1081,둘째,6개월,49
1082,둘째,출산육아휴직,1
1083,둘째,얼마,3
1084,둘째,지급,12
1085,두번,첫째,7
1086,두번,뒤,4
1087,두번,사후지급금,3
1088,두번,6개월,6
1089,두번,출산육아휴직,2
1090,두번,얼마,1
1091,두번,지급,7
1092,첫째,뒤,8
1093,첫째,사후지급금,21
1094,첫째,6개월,39
1095,첫째,출산육아휴직,1
1096,첫째,얼마,1
1097,첫째,지급,11
1098,뒤,사후지급금,9
1099,뒤,6개월,23
1100,뒤,출산육아휴직,2
1101,뒤,얼마,1
1102,뒤,지급,11
1103,사후지급금,6개월,62
1104,사후지급금,출산육아휴직,1
1105,사후지급금,얼마,3
1106,사후지급금,지급,14
1107,6개월,출산육아휴직,4
1108,6개월,얼마,4
1109,6개월,지급,24
1110,출산육아휴직,얼마,1
1111,출산육아휴직,지급,3
1112,얼마,지급,1
1113,혜택,복직,9
1114,혜택,승진,1
1115,혜택,걱정,3
1116,혜택,이직,4
1117,혜택,문제,3
1118,혜택,1년,16
1119,혜택,1달,1
1120,혜택,생각,8
1121,혜택,상황,6
1122,혜택,임산부,3
1123,혜택,첫째,4
1124,혜택,출산,9
1125,혜택,회사,12
1126,혜택,임신,6
1127,혜택,말,6
1128,혜택,이전,1
1129,혜택,계획,4
1130,복직,걱정,39
1131,복직,1달,12
1132,복직,임산부,15
1133,복직,임신,96
1134,복직,이전,18
1135,승진,걱정,6
1136,승진,이직,1
1137,승진,문제,4
1138,승진,1년,7
1139,승진,1달,1
1140,승진,상황,6
1141,승진,임산부,2
1142,승진,출산,7
1143,승진,임신,5
1144,승진,말,3
1145,승진,이전,1
1146,걱정,이직,5
1147,걱정,문제,9
1148,걱정,1년,22
1149,걱정,1달,2
1150,걱정,생각,33
1151,걱정,상황,15
1152,걱정,임산부,5
1153,걱정,첫째,10
1154,걱정,출산,22
1155,걱정,회사,40
1156,걱정,임신,22
1157,걱정,말,12
1158,걱정,이전,2
1159,걱정,계획,8
1160,이직,문제,4
1161,이직,1년,21
1162,이직,1달,1
1163,이직,생각,18
1164,이직,임산부,2
1165,이직,첫째,6
1166,이직,출산,14
1167,이직,임신,14
1168,이직,말,7
1169,이직,이전,6
1170,이직,계획,3
1171,문제,1년,24
1172,문제,1달,6
1173,문제,상황,17
1174,문제,임산부,5
1175,문제,첫째,8
1176,문제,출산,30
1177,문제,임신,17
1178,문제,말,19
1179,문제,이전,5
1180,문제,계획,11
1181,1년,1달,11
1182,1년,생각,88
1183,1년,상황,51
1184,1년,임산부,10
1185,1년,첫째,67
1186,1년,임신,68
1187,1년,이전,16
1188,1달,생각,4
1189,1달,상황,5
1190,1달,임산부,1
1191,1달,첫째,4
1192,1달,출산,12
1193,1달,회사,17
1194,1달,임신,3
1195,1달,말,5
1196,1달,이전,1
1197,1달,계획,3
1198,생각,상황,54
1199,생각,임산부,15
1200,생각,출산,78
1201,생각,임신,48
1202,생각,말,47
1203,생각,이전,5
1204,상황,임산부,7
1205,상황,첫째,19
1206,상황,출산,54
1207,상황,임신,25
1208,상황,말,30
1209,상황,이전,4
1210,상황,계획,18
1211,임산부,첫째,2
1212,임산부,출산,20
1213,임산부,회사,28
1214,임산부,임신,13
1215,임산부,말,9
1216,임산부,이전,3
1217,임산부,계획,7
1218,첫째,출산,63
1219,첫째,임신,66
1220,첫째,말,25
1221,첫째,이전,3
1222,출산,임신,95
1223,출산,이전,12
1224,회사,임신,145
1225,임신,말,56
1226,임신,이전,5
1227,임신,계획,35
1228,말,이전,10
1229,이전,계획,2
1230,육아휴직하,복직,7
